2.50E-01,1.67E+00,3.67E+00
2.60E-01,1.76E+00,4.08E+00
2.70E-01,2.07E+00,4.68E+00
2.80E-01,2.96E+00,5.29E+00
2.90E-01,4.36E+00,5.29E+00
3.00E-01,4.98E+00,4.23E+00
3.10E-01,5.12E+00,3.60E+00
3.20E-01,5.11E+00,3.30E+00
3.30E-01,5.20E+00,3.10E+00
3.40E-01,5.30E+00,2.98E+00
3.50E-01,5.49E+00,2.94E+00
3.60E-01,6.03E+00,2.97E+00
3.70E-01,6.89E+00,2.17E+00
3.80E-01,6.62E+00,9.46E-01
3.90E-01,6.04E+00,4.45E-01
4.00E-01,5.61E+00,2.96E-01
4.10E-01,5.33E+00,2.27E-01
4.20E-01,5.12E+00,1.76E-01
4.30E-01,4.95E+00,1.38E-01
4.40E-01,4.81E+00,1.07E-01
4.50E-01,4.69E+00,8.63E-02
4.60E-01,4.59E+00,7.14E-02
4.70E-01,4.50E+00,6.21E-02
4.80E-01,4.42E+00,5.50E-02
4.90E-01,4.35E+00,4.91E-02
5.00E-01,4.29E+00,4.42E-02
5.10E-01,4.24E+00,3.94E-02
5.20E-01,4.19E+00,3.64E-02
5.30E-01,4.15E+00,3.31E-02
5.40E-01,4.11E+00,3.03E-02
5.50E-01,4.08E+00,2.80E-02
5.60E-01,4.05E+00,2.58E-02
5.70E-01,4.02E+00,2.41E-02
5.80E-01,3.99E+00,2.25E-02
5.90E-01,3.96E+00,2.11E-02
6.00E-01,3.94E+00,1.99E-02
6.10E-01,3.92E+00,1.84E-02
6.20E-01,3.90E+00,1.74E-02
6.30E-01,3.88E+00,1.64E-02
6.40E-01,3.86E+00,1.54E-02
6.50E-01,3.84E+00,1.44E-02
6.60E-01,3.83E+00,1.35E-02
6.70E-01,3.81E+00,1.27E-02
6.80E-01,3.80E+00,1.19E-02
6.90E-01,3.78E+00,1.12E-02
7.00E-01,3.77E+00,1.05E-02
7.10E-01,3.76E+00,1.01E-02
7.20E-01,3.75E+00,9.63E-03
7.30E-01,3.74E+00,8.95E-03
7.40E-01,3.73E+00,8.36E-03
7.50E-01,3.72E+00,7.82E-03
7.60E-01,3.71E+00,7.20E-03
7.70E-01,3.70E+00,6.74E-03
7.80E-01,3.69E+00,6.39E-03
7.90E-01,3.68E+00,5.83E-03
8.00E-01,3.68E+00,5.41E-03
8.10E-01,3.67E+00,5.00E-03
8.20E-01,3.66E+00,4.61E-03
8.30E-01,3.65E+00,4.27E-03
8.40E-01,3.65E+00,3.94E-03
8.50E-01,3.64E+00,3.61E-03
8.60E-01,3.64E+00,3.28E-03
8.70E-01,3.63E+00,2.98E-03
8.80E-01,3.62E+00,2.68E-03
8.90E-01,3.62E+00,2.43E-03
9.00E-01,3.61E+00,2.17E-03
9.10E-01,3.61E+00,1.96E-03
9.20E-01,3.60E+00,1.76E-03
9.30E-01,3.60E+00,1.55E-03
9.40E-01,3.60E+00,1.37E-03
9.50E-01,3.59E+00,1.18E-03
9.60E-01,3.59E+00,1.02E-03
9.70E-01,3.58E+00,8.72E-04
9.80E-01,3.58E+00,7.49E-04
9.90E-01,3.58E+00,6.22E-04
1.00E+00,3.57E+00,5.09E-04
1.01E+00,3.57E+00,4.11E-04
1.02E+00,3.57E+00,3.24E-04
1.03E+00,3.56E+00,2.48E-04
1.04E+00,3.56E+00,1.87E-04
1.05E+00,3.56E+00,1.36E-04
1.06E+00,3.55E+00,9.36E-05
1.07E+00,3.55E+00,6.81E-05
1.08E+00,3.55E+00,5.33E-05
1.09E+00,3.55E+00,4.08E-05
1.10E+00,3.54E+00,3.06E-05
1.11E+00,3.54E+00,2.38E-05
1.12E+00,3.54E+00,1.78E-05
1.13E+00,3.54E+00,1.35E-05
1.14E+00,3.53E+00,9.07E-06
1.15E+00,3.53E+00,6.22E-06
1.16E+00,3.53E+00,3.88E-06
1.17E+00,3.53E+00,2.05E-06
1.18E+00,3.52E+00,6.10E-07
1.19E+00,3.52E+00,3.41E-07
1.20E+00,3.52E+00,2.10E-07
1.21E+00,3.52E+00,1.25E-07
1.22E+00,3.52E+00,7.96E-08
1.23E+00,3.52E+00,4.60E-08
1.24E+00,3.51E+00,2.37E-08
1.25E+00,3.51E+00,9.95E-09
1.26E+00,3.51E+00,3.61E-09
1.27E+00,3.51E+00,2.02E-09
1.28E+00,3.51E+00,1.22E-09
1.29E+00,3.51E+00,7.29E-10
1.30E+00,3.50E+00,4.66E-10
1.31E+00,3.50E+00,2.81E-10
1.32E+00,3.50E+00,1.68E-10
1.33E+00,3.50E+00,8.47E-11
1.34E+00,3.50E+00,3.73E-11
1.35E+00,3.50E+00,1.83E-11
1.36E+00,3.50E+00,1.03E-11
1.37E+00,3.49E+00,6.54E-12
1.38E+00,3.49E+00,4.17E-12
1.39E+00,3.49E+00,2.54E-12
1.40E+00,3.49E+00,1.56E-12
1.41E+00,3.49E+00,9.54E-13
1.42E+00,3.49E+00,5.65E-13
1.43E+00,3.49E+00,2.84E-13
1.44E+00,3.49E+00,2.06E-13
1.45E+00,3.49E+00,1.38E-13
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
